Material,Material Description,Batch,Base Unit,Shelf Life Expiration Date,Storage Location,Plant,Plant Name,Blocked Stock,Physical Condition,Origin,Destination,Destination Plant,Palletization,Pallet Quantity,Unit Value,Total Value,PO,Delivery,FU,FO,Pull Number,Transfer Invoice Number,Carrier,Request Date,Delivery Date
100598,APROACH POWER BTLPET10L BRA,24H2887L08,L,2027-08-08 00:00:00,5240,2875,CTVA Carazinho 7413 DC CP,1720.0,1026SU - produto sujo ,Carazinho,Paulínia,3439,750.0,2.2933333333333334,70.35,121001.99999999999,5300106003.0,80759276.0,4100658656.0,,PC001,32854.0,BRAVO,29.07.2025,02.08.2025
100598,APROACH POWER BTLPET10L BRA,24H2887L11,L,2027-08-08 00:00:00,5240,2875,CTVA Carazinho 7413 DC CP,750.0,1026SU - produto sujo ,Carazinho,Paulínia,3439,750.0,1.0,70.35,52762.49999999999,5300106003.0,80759276.0,4100658656.0,,PC001,32854.0,BRAVO,29.07.2025,02.08.2025
100598,APROACH POWER BTLPET10L BRA,24K2887M34,L,2027-11-14 00:00:00,5240,2875,CTVA Carazinho 7413 DC CP,1660.0,1026SU - produto sujo ,Carazinho,Paulínia,3439,750.0,2.2133333333333334,70.35,116780.99999999999,5300106003.0,80759276.0,4100658656.0,,PC001,32854.0,BRAVO,29.07.2025,02.08.2025
100598,APROACH POWER BTLPET10L BRA,24K2887M40,L,2027-11-15 00:00:00,5240,2875,CTVA Carazinho 7413 DC CP,500.0,1026SU - produto sujo ,Carazinho,Paulínia,3439,750.0,0.6666666666666666,70.35,35175.0,5300106003.0,80759276.0,4100658656.0,,PC001,32854.0,BRAVO,29.07.2025,02.08.2025
100598,APROACH POWER BTLPET10L BRA,24K4813026,L,2027-11-25 00:00:00,5240,2875,CTVA Carazinho 7413 DC CP,700.0,1026SU - produto sujo ,Carazinho,Paulínia,3439,750.0,0.9333333333333333,70.35,49244.99999999999,5300106003.0,80759276.0,4100658656.0,,PC001,32854.0,BRAVO,29.07.2025,02.08.2025
100598,APROACH POWER BTLPET10L BRA,24K4813033,L,2027-11-26 00:00:00,5240,2875,CTVA Carazinho 7413 DC CP,240.0,1026SU - produto sujo ,Carazinho,Paulínia,3439,750.0,0.32,70.35,16884.0,5300106003.0,80759277.0,4100658657.0,,PC001,32856.0,BRAVO,29.07.2025,02.08.2025
100598,APROACH POWER BTLPET10L BRA,24L2887K77,L,2027-12-07 00:00:00,5240,2875,CTVA Carazinho 7413 DC CP,650.0,1026SU - produto sujo ,Carazinho,Paulínia,3439,750.0,0.8666666666666667,70.35,45727.49999999999,5300106003.0,80759277.0,4100658657.0,,PC001,32856.0,BRAVO,29.07.2025,02.08.2025
100598,APROACH POWER BTLPET10L BRA,24L2887L08,L,2027-12-09 00:00:00,5240,2875,CTVA Carazinho 7413 DC CP,100.0,1026SU - produto sujo ,Carazinho,Paulínia,3439,750.0,0.13333333333333333,70.35,7034.999999999999,5300106003.0,80759277.0,4100658657.0,,PC001,32856.0,BRAVO,29.07.2025,02.08.2025
100598,APROACH POWER BTLPET10L BRA,24L2887L79,L,2027-12-13 00:00:00,5240,2875,CTVA Carazinho 7413 DC CP,2240.0,1026SU - produto sujo ,Carazinho,Paulínia,3439,750.0,2.986666666666667,70.35,157584.0,5300106003.0,80759277.0,4100658657.0,,PC001,32856.0,BRAVO,29.07.2025,02.08.2025
100598,APROACH POWER BTLPET10L BRA,24L2887L94,L,2027-12-14 00:00:00,5240,2875,CTVA Carazinho 7413 DC CP,2120.0,1026SU - produto sujo ,Carazinho,Paulínia,3439,750.0,2.8266666666666667,70.35,149142.0,5300106003.0,80759277.0,4100658657.0,,PC001,32856.0,BRAVO,29.07.2025,02.08.2025
100598,APROACH POWER BTLPET10L BRA,24L2887L97,L,2027-12-15 00:00:00,5240,2875,CTVA Carazinho 7413 DC CP,420.0,1026SU - produto sujo ,Carazinho,Paulínia,3439,750.0,0.56,70.35,29546.999999999996,5300106003.0,80759277.0,4100658657.0,,PC001,32856.0,BRAVO,29.07.2025,02.08.2025
100598,APROACH POWER BTLPET10L BRA,24L2887M01,L,2027-12-15 00:00:00,5240,2875,CTVA Carazinho 7413 DC CP,1580.0,1026SU - produto sujo ,Carazinho,Paulínia,3439,750.0,2.1066666666666665,70.35,111152.99999999999,5300106003.0,80759277.0,4100658657.0,,PC001,32856.0,BRAVO,29.07.2025,02.08.2025
100598,APROACH POWER BTLPET10L BRA,24L2887M23,L,2027-12-16 00:00:00,5240,2875,CTVA Carazinho 7413 DC CP,40.0,1026SU - produto sujo ,Carazinho,Paulínia,3439,750.0,0.05333333333333334,70.35,2814.0,5300106003.0,80759277.0,4100658657.0,,PC001,32856.0,BRAVO,29.07.2025,02.08.2025
100598,APROACH POWER BTLPET10L BRA,24L2887M27,L,2027-12-16 00:00:00,5240,2875,CTVA Carazinho 7413 DC CP,10.0,1026SU - produto sujo ,Carazinho,Paulínia,3439,750.0,0.013333333333333334,70.35,703.5,5300106003.0,80759277.0,4100658657.0,,PC001,32856.0,BRAVO,29.07.2025,02.08.2025
100598,APROACH POWER BTLPET10L BRA,C021N9E191,L,2025-06-26 00:00:00,5300,2875,CTVA Carazinho 7413 DC CP,430.0,1004PV - produto vencido,Carazinho,Paulínia,3439,750.0,0.5733333333333334,70.35,30250.499999999996,5300106003.0,80759277.0,4100658657.0,,PC001,32856.0,BRAVO,29.07.2025,02.08.2025
100598,APROACH POWER BTLPET10L BRA,C021O3A191,L,2025-07-01 00:00:00,5300,2875,CTVA Carazinho 7413 DC CP,140.0,1004PV - produto vencido,Carazinho,Paulínia,3439,750.0,0.18666666666666668,70.35,9849.0,5300106003.0,80759277.0,4100658657.0,,PC001,32856.0,BRAVO,29.07.2025,02.08.2025
100598,APROACH POWER BTLPET10L BRA,SEP22OU706,L,2024-09-01 00:00:00,5300,2875,CTVA Carazinho 7413 DC CP,10.0,1004PV - produto vencido,Carazinho,Paulínia,3439,750.0,0.013333333333333334,70.35,703.5,5300106003.0,80759277.0,4100658657.0,,PC001,32856.0,BRAVO,29.07.2025,02.08.2025
100598,APROACH POWER BTLPET10L BRA,AUG22OU620,L,2025-07-31 00:00:00,5300,3433,LEM 7413 DC CP,840.0,1004PV - produto vencido,Luis Eduardo Magalhães,Paulínia,3439,750.0,1.12,45.72,38404.799999999996,5300112552.0,80820259.0,4100716138.0,2316757.0,PL001,12459.0,BRAVO,17.09.2025,29.09.2025
100598,APROACH POWER BTLPET10L BRA,24L2887K35,L,2027-12-03 00:00:00,5240,2875,CTVA Carazinho 7413 DC CP,400.0,1026SU - produto sujo ,Carazinho,Paulínia,3439,750.0,0.5333333333333333,70.35,28139.999999999996,5300112814.0,80820639.0,4100716815.0,2317362.0,PC005,33596.0,BRAVO,17.09.2025,25.09.2025
100598,APROACH POWER BTLPET10L BRA,24L2887L18,L,2027-12-09 00:00:00,5240,2875,CTVA Carazinho 7413 DC CP,1530.0,1026SU - produto sujo ,Carazinho,Paulínia,3439,750.0,2.04,70.35,107635.49999999999,5300112814.0,80820639.0,4100716815.0,2317362.0,PC005,33596.0,BRAVO,17.09.2025,25.09.2025
100598,APROACH POWER BTLPET10L BRA,24L2887L82,L,2027-12-13 00:00:00,5240,2875,CTVA Carazinho 7413 DC CP,1080.0,1026SU - produto sujo ,Carazinho,Paulínia,3439,750.0,1.44,70.35,75978.0,5300112814.0,80820639.0,4100716815.0,2317362.0,PC005,33596.0,BRAVO,17.09.2025,25.09.2025
100598,APROACH POWER BTLPET10L BRA,24L2887L92,L,2027-12-14 00:00:00,5240,2875,CTVA Carazinho 7413 DC CP,2670.0,1026SU - produto sujo ,Carazinho,Paulínia,3439,750.0,3.56,70.35,187834.49999999997,5300112814.0,80820639.0,4100716815.0,2317362.0,PC005,33596.0,BRAVO,17.09.2025,25.09.2025
